title,review,date
Underwhelmed,"Decided to visit today as it was a hot day and would get us outdoors. We were lucky enough to be the last car the get a space in the car park (12.45). Entrance fee £21.95 per person (adult). Took the map as we are always getting lost on trails !!! Anyway first stop the meerkats and off we went following the route that said keep to the right , lots of bio-diversity items and many animals etc including the pandas although they must have been tired with the heat as they were not very active. Managed to find the giraffes, kangaroos, tortoise, rhino, etc but for the love of me we couldn’t or maybe didn’t find loins, tigers, bears, seals reptiles etc. many empty paddocks and cages and even the penguin parade not currently in operation. We had a pleasant day out but felt cheated as our recollection of previous visits were much more enjoyable. Don’t think we will return",
Disappointed,Some what disappointing and food very very well done would I go again no would I recommend no would I give to the animals yes,
"Poor to average, would we visit again probably not.","We visited Edinburgh Zoo today! With us was an expectant mum, we felt there should be something on your website (the word slopping) is a bit deceiving. It was quite a challenge for her. We were unable to get a ride to the top, there appeared only to be 2 vehicles at your disposal, maybe a ticket system or priority system would be better as when we were shown where to wait there were several families all stood about, chaotic would be the word I would use. When 2 did turn up one of them went on a break, would not be a good idea for another driver to take over when drivers go on breaks.Also toilets were very poor, no running water to wash our hands in one of them, at the top was just 7 port-a-loos and the were very dirty and no facilities to wash were not working.In terms of animals we saw, giraffes were good 👍 tigers 👍 although it seems your advertisement is somewhat over exaggerated in terms of quality and standards for the animals. Pandas we cool but please clean there viewing  windows!!",
Disappointing !,Run down zoo with very few animals to See.Many cages are just empty and in in a desolate condition. For the price of 65£ for a family ticket I advice to Look for a different activity in Edinburgh.,
Not the best zoo in the world.,"Not the best zoo I’m the world , just quite average.A lot of empty exhibits, 90% of the interactive displays not working or in poor order.A lot of the animal enclosures were dirty.It’s on a hill , a steep hill in places, some people may struggle.It took 5 1/2 hours to go around.",
Good day out.,This was my first of trip to the zoo since the pandemic as my wife had a voucher bought from before the pandemic. I have been to Edinburgh zoo many times of the year and have to say it's always a good day out. If you have never been to the zoo before it is based on quite a steep hill with great views from the top.parking is right next to it. I would recommend taking a picnic as there are plenty areas to have one and found the eating places very expensive and the service wasn't brilliant . We had 2 coffees and 2 KitKat fingers and it cost £9.60 which seemed quite high. The highlights for us were the Giraffes to and the Penguins. Like visiting any zoo it's your luck if animals are awake . There is nothing they can do about the layout of the zoo because it is based where it is and have been at other zoos which are easier to see round but they adapt pretty well.,
Amazing Armadillo Experience,"Have previously left a 5 star review of my experience at Edinburgh Zoo and this is no different. Except this time at the Zoo I got to participate in the Armadillos Magic Moment which was extraordinary. Liz led the experience and was so knowledgeable - she shared many facts about the Armadillos and about the Chimpanzees (a favourite at the zoo). My partner asked many questions and she knew the answer everytime. The experience itself was so special. We got to feed, pet, and hold the Armadillos and I was stunned the whole way through with the more we got to do. We even got to prepare their food! I had an incredible time throughout and left with so many new facts about the Zoo and the armadillo species. I am already looking into doing another experience at the zoo. Thank you to Liz for giving us great memories - I hope this feedback will be passed along.",
Well worth a visit,"I visited with my 2 young grandkids (7 and 4). We arrived c9.30am - the car is large and free. We joined the queue for the zoo opening at 10am. Its probably worth arriving by 9.30am or c10.30am as the queue by 10am was huge.The zoo is huge and pretty hilly in parts - its quite a climb to get to the top. The animals all seem to be well looked after. There is a large dinosaur park at the top, 3 or 4 areas for young kids to play scattered thru the zoo, plenty of eating options and lots of areas to have a picnic.The food is priced about where i expected - we had sandwiches from The Penguin Cafe and a junior hot dog with a serving of fries from an adjacent van - the fries were actually very good.Nowhere felt crowded - even at the enclosures with the big attractions (pandas, tigers, lions and penguins), though the car park was full as we left. This showed how well-managed the zoo is to get so many visitors but not have anyone feel crowded.",
Must for any zoo lover,"Good variety of animals, delicious food, friendly staff, and cracking views.Very hilly, which may make it difficult for those who struggle with mobility.Signage could be better. Few occasions it was difficult to find certain animal cages.",
Great day out.,"Attended for my birthday, as a treat to see the pandas in real life not just on PandaCam. Loved seeing them close up and happy to see they have the ability to go outside and roam around. All the animals have the ability to be inside or out in their enclosure. The penguins, as somebody has previously mentioned on here, have a large area to roam and though the window wasn't gleaming - it doesn't stop them from enjoying their day.Food available in cafes or outlets and toilets spread around. We took our own drinks as it can get pricey constantly buying for everyone.  Plenty of space for picnics.The zoo is hilly but plenty to explore and enjoy.Will definitely go again.",
Great day out.,"Great place to visit. The animal enclosures were all very spacious and natural. Seeing panda's up close was amazing. We bought chips from one of the vans, they were very nice and reasonably priced.",
Disappointed,"Car park closed as we arrived, saying it was full, and open when we left, travelled a fair distance and expected parking. Had booked ticket, loved seeing the animals but space for them was shockingly small and the lion looked as though there was very little space for it too roam. Makes you realise animals should roam free.",
Ok,I have visited many zoo over the years and found them fun for family and kids also educational . Edinburgh zoo seems run down and not very clean . Lots  of the interactive things around zoo are weather worn or broken . The glass veiwing window's were just filthy . I understand these can be hard to get round in zoo but compared  to 3 sister's zoo we went not long ago  which had hand prints on them but no where near the mess Edinburgh zoo were in  . We went at half 10 in the morning and there was barely anyone there so these couldn't have been a days worth . It's just felt sad being in the zoo with so little space for the animals .  So much blocked off that wasn't in use . I feel the space the animals have just feels so small . I feel it would be more beneficial to have less animals and more space for them . I don't know think I'd go back to this zoo .,
Mediocre,"Overall the zoo is okay in that they obviously look after their animals, but as for the rest it leaves some room for improvement.- A water fountain or two might be an idea it’s a big park and on hot days it could make a difference- Food is limited if you have any dietary requirements I’m allergic to dairy and couldn’t get an ice cream in a heatwave, I respect that was difficult circumstances.- Hire a window cleaner, the panes are filthy, so many greasy handprints on the glass we couldn’t see through.",
Brillant family day out,"Went to the Zoo on 28th July 2022. Family party of 4 adults & 3 children.Lovely day out, bit disappointed on the number of empty enclosures.Food stalls up near the dinosaur trail quite disappointing.- would love it if they could cater for dairy free diets (especially in the warmer weather). All kids love an ice cream.Kids loved their day out - kept very busy at the multiple on site play areas and spotting the animals.The gift shop I found quite lacking, especially with the 'Edinburgh Zoo' branding - I couldn't find any stuffed animals that were easily identified as having been bought there. ( we purchased quiet a few things, that could be mistaken for being bought elsewhere). Even the waterproof drawstring bag had no branding on it.Overall 4/5",
Nice day at the zoo!,"Edinburgh Zoo is wonderful! We took a bus ride from the city centre to the zoo as it added to the adventure. We bought tickets online - I don't remember it being cheaper than paying there on the day. There's so many fantastic sights - the penguins are brilliant, the zebras are gorgeous, the giraffe enclosure is amazing and of course, the giant panda which is made a huge deal of by the zoo is always good value. Make sure you wear comfy shoes as the zoo is on a massive hill and definitely make time to watch the penguins have their dinner - its absolutely fab!",
Exceptional,"The zoo itself was the best, penguins had so much space to swim,nest etc. Pandas were exceptional. Lovely day out wished I lived nearer...",
Great day out,"Pre booked a 10am entry time slot when the zoo opens and arrived early 9.40am and there were loads of spaces in the free car park. Great final day trip while on holiday in Edinburgh. Great value, kids loved it and a great range of animals. They particularly liked the koala bears. Had some chips from the Gannet and ice creams from outside the tent nearby all very nice.Everything nicely priced and good value including gifts and food.Only things to note is the zoo is on a big hill slope so walking up may be tricky for some people and the toilets on site could do with a revamp overall.Overall we really loved our day out here and would recommend anyone to visit and support the animals here and the work they support around the world for endangered animals who need our help.",
Latest Visit,I've visited the zoo many times over the years since I was a child and my latest visit was yesterday with my 9 year old nephew and my mother in law.  When we arrived the car park was full so we had to park in a side street across the road.  When we got in the queue for tickets we found out that they were only accepting pre booked tickets.Fortunately they had bookings available so we were able to book a slot online for mid-day which meant only a 15 minute wait.  Once we were in the zoo it was clear that they'd been doing a lot of work to improve the enclosures during the pandemic.  This is a benefit to both the animals and visitors.  Overall we enjoyed our visit.,
Not too bad,"We pre-booked our tickets as we was travailing along way, when we got to the zoo the car park is fulll signs was out but there was a good amount of cars exiting the car park, unable to find parking close to the zoo we had to park down a side street and walk a distance to get in. Once in The zoo it had a fair amount of animals, didn’t feel it was set out very well as felt like we was waking a lot and also up hill which is different to other zoos I have been to, good amount of food/ Icecream stops around the zoo. If you take kids there is a good dinosaur part at the top and a good park as-well",
Lovely soo,"Wonderful time at this zoom , one of the best in the UK. Conversation efforts can be seen and they truly care for the welfare of their animals .Lovely range of animals and the information provided.",
Amazing to see Pandas up close but sad to see tatty landscaping,"It really was very special to see Pandas so close and well worth visiting just for that reason alone. I did enjoy seeing other animals too (only a few were hiding) and I could see they were cared for. I also enjoyed seeing a Sloth for the first time. happy in his comfy basket. What wasnt so good, in my opinion, were the tatty fences in desperate need of a paint, dirty glass, unswept paths and uncared for garden areas. Of course the animals should always be the top priority, but after that then money and elbow grease should go in to refreshing and cleaning up the landscape rather than spending money on the dInosaurs.  I think its just confusing for children to see dinosaur models in a zoo and not necessary. The fish restaurant food was good, although eating there must be very expensive for most families. We parked in a nearby road as car park full, but that was not a problem.. We enjoyed the exercise walking about and didnt mind the hills at all.",
Great Family Visit to Edinburgh Zoo,"Great family day out with son and 3 grand kids.  Although the Zoo was very busy there was plenty of space for everyone.  Staff very friendly and accommodating, lots of seating and picnic areas, took our own picnic but plenty of places to buy food.  Was impressed with all areas of the Zoo - welfare of the animals, range of animals, information on the different species.  All in all an excellent day out.",
Fitness freaks apply here!,"If we knew this was on a mountain we would have got transportation. It would be very interesting to see how high the altitude is form the top of the zoo to see if it marries up to the castle.As far as the layout is concerned, not bad but no elephants (understandable but fans of these creatures will be unamused).The selection along with the advisors deserve credit but the terrain is emphatically not suitable for those without GCSE grade C in PE or above.  The gift shop could do with reorganising though as finding the tills in the mass sprawl that was the queueing system left a lot to be desired.",
Zoo fun,"What a brilliant  zoo plenty if animals to see the pandas were fantastic as we're the kolar, very hilly in places make sure you have got walking shoes on maybe hard for people with prams wheelchairs and young children",
Meerkat Magic Moment,The zookeeper was very knowledgeable and friendly. She made me feel very involved in the process of feeding the meerkats. You get to go inside the enclosure and if you are lucky the meerkats will come right up to your feet.,
Stop animals living in destress,We visited at 27/07And in my humble opinion i have seen allot of animals in distress like the tiger pacing  for a half hour its fair to say that you see allot of animals don’t look happy it made me realize that a zoo is not of this era anymore Maybe  in the 70’ and 80’ it was amazing but unfortunately the animals in the zoo cant survive in nature i assume.the giraffes had the best facility far out i hope they keep improving the other enclosure’s alsoThe zoo also is on a steep incline some parts so when having a disability i assume its a hard days work walkingFood is quite expensive 2 kids portions chips  with 4 chicken nuggets and a falafel  wrap and was £24 and not many healthy options also wish Edinburgh zoo all the best Maybe the review is not a good one but at least its honest,
"Great day out, but check cafe times!",My partner and I had a lovely afternoon visiting the zoo. We arrived around 1pm and it took us until 5pm to wander round and see everything. The staff at the entrance were enthusiastic and friendly.Some of the paths are very steep so can be hard work. We would recommend going past the Przewalski’s horses on the way up the hill as that way seemed less steep than past the pandas (would be nice if they mentioned that upon entry).The only negative we found was that all of the food places closed really early compared to the actual zoo (another thing they should mention when you enter). No-one told us this so we went hungry despite leaving one hour before the 6pm closing.,
A good day out,"A great family outing.  We are members,  but appreciate the comments about the cost for non-members.  The hill is certainly a good workout - particularly with smaller people and pushchair!Members of staff were very helpful and nice and we enjoyed seeing all the animals!",
Enjoyable visit,"Spent a lovely afternoon here with my daughter. On arrival I asked about transport to the top of the zoo, and Liam, who was booking us in, went out of his way to book it for us,showing us where we could pick it up and suggesting we had a wander around the lower area, as we had to wait for about half an hour. We saw almost all the animals in their areas, many more than we've seen on earlier visits. All looked happy and content. Not sure why others are calling it a rip off. Enjoyed the dinosaurs up the top too. Very clean surroundings, paths etc and all the staff we came across were friendly. Not so keen on the restaurants on site. Some of the food trucks further up looked good, unfortunately they were closing by the time we came across them. Didn't spoil our visit though. Thank you",
A Great Day Out!,A wonderful day out.Visited on Sunday with my family. A truly enjoyable visit from start to finish. Staff at reception and throughout the Zoo are incredibly friendly and helpful. Nothing was too much trouble.My son who has Autism was with us and the Zoo is incredibly inclusive for those with additional needs. A credit to the management and staff.Enjoyed some ice cream from the ice cream roll stall - highly recommend.A great day out!,
Good but not great value for money,"Enjoyed the zoo. Although the map and the arrows telling you where to go were a joke... Went with 15year old, 3,year old myself and dad... If going by value for money it's not there atall.. Prices r crazy I'm aware it's bn hard time for zoo. No family ticket available for a start. The layout makes it hard to get to see everything or rather to find everything.",
Edinburgh zoo rip off,Do not waste your money . There are more rude staff than animals . Its a joke am here only 1 hour so far ... a visit to pets store would be equal so far ... more reviews to follow  ...,
Great day out,"We spent a whole day here as a family and our 9 year old loved the whole day.We were lucky enough to have seen most of the animals. You have to remember that these are wild animals who will only appear when they want and do what want.The zoo is well signposted but is on a hill and some parts are quite steep but you are advised of this upon entry.The keepers clearly care for the animals and are often around to answer any questions and provide useful information.  The keeper who was at the Giant Panda enclosure was very informative and spent several minutes answering questions.My son did the armadillo experience. Again the keeper was very knowledgeable and took the time to explain everything, answer questions and really involved my son. It was great feeding the 2 month old hairy armadillo, Wyatt. At the end of the experience it would have been nice for my son to receive a certificate or badge (or similar) to acknowledge his involvement in helping on the day. Other zoos have done this.Overall though a great day and highly recommended for animal lovers. Would be back in a heart beat.",
There are far better similar experiences elsewhere,"Over priced entrance charges (nearly £50 for 2 adults) with very little to see in the way of animals, enclosure after enclosure with nothing in them, penguin march cancelled and a lack of general maintenance left our kids asking to go home half way through the day. The zoo have tried to replace the lack of animals by turning it into a ‘theme’ park with dinosaurs, several parks and face painting at an additional charge. We went as a family of 7 adults and 4 children and just feel totally ripped off. The conditions the animals are kept in is a total disgrace, filthy enclosures, far too small for them with little in the way of children being able to interact with the animals. We understand Edinburgh Zoo is all about animal conservation but zoos like this really need to be closed down as they’re very much outdated and unethical in todays society. For us the worst experience was the penguins enclosure, the viewing galleries were so filthy we couldn’t see a thing! Come on Edinburgh Zoo, get your act together and explain to the public exactly where our hard earned entrance fees are going cos it certainly doesn’t look like the animals are seeing any of it",
Great days out,"Edinburgh zoo is a great day out for all, animals seem week looked after & content which in the past wasn't always the case with some of the big cats especially seemingly bored in small enclosures so glad to see this has improved greatly. Food is expensive but you come to expect that from such attractions so bring your own if you want to, plenty of places to sit & eat. If kids are bored with animals there is several play parks for them to run around in. Easy to get to with several buses available even if you live out with Edinburgh.",
A fun place to visit on vacation with friends,"I really enjoyed my visit to the Edinburgh Zoo! I haven't been to a zoo since I was young and I really enjoyed the experience. There were many different kinds of animals to see, though some of them were a bit shy. I imagine this was due to the unusual heat on the day I visited. I even got to see some animals that I had never seen before in person (Red Pandas and Armadillos) which was truly amazing. The only negative thing I have to say is that there weren't many animals in each enclosure and/or they were difficult to see. At the end of the day, I don't really hold that against the zoo since they have little control over the animals' behavior and habitat requirements and the priority should first and foremost be keeping the animals safe, happy, and healthy.",
Junior Zookeeper Experience,"My daughter (aged 10) took part in the zookeeper experience today & absolutely loved every minute. She had a great time learning about & helping to take care of/feed the animals, particularly the penguins. Special thanks to zookeeper Kirsty who looked after us & also gave us lots of information on the zoo itself, we will definitely be back.",
NOT a family day out anymore.,"NOT a Family Day anymore.This was previously a wonderful zoo but it has turned in to an unloved place which has a very few animals on display. Enclosures uncared for, external features uncared for, lots of empty overgrown enclosures, a distinct lack of animals.It’s just a zoo in a very sorry state.",
Poor,"Visited today with my 2 daughters and was absolutely disgusted at the lack of animals compared to a few years ago the zoo is severely run down over grown and definitely over priced,the viewing area for penguins in the pool was pointless as the glass obviously hasn't been cleaned in years,small monkeys in overgrown cages,apart from rhinos tiger giraffe and  pandas nothing else to see that you wouldn't see at a petting zoo definitely won't be back this place should be ashamed of themselves and certainly won't be recommending it to anyone",
Old Zoo - animals deserve more space!,"The zoo is decadent, very small places for big animals such as rhyno, tiger, giraffes. Depressing place for pinguins and monkeys.Tough path, completely uphill and hard for strollers, small kids and elderly people.",
Edinburgh Zoo woes.,Run down and very disappointing. Not the zoo I remember as a child. Animal enclosures very poor and unkempt. Sad to see.,
Very disappointed,I took my family there on the 11/7/22 and I was very disappointed I booked online and it asked me if I wanted to make a donation I clicked no and it took the donation anyway I was very disappointed way with the fact that most enclosures were empty and the ice creams were twice the price of the shops I really won’t be back again I’d rather to Blair Drummond safari so much better and more for the kids to do,
Great day & even better food,Went to Edinburgh zoo with my young family. We all have a Zoo membership and always have a great day here. We usually take a packed lunch with us but decided to try one of the many options for food this time. Choice of the day was Rost food and it did not disappoint. Food was delicious 😋 Especially the buttermilk fried chicken burger which i had. Customer service from the staff though was above and beyond. Definitely would recommend to anybody looking for some lunchtime grub. All in all a fantastic day had by all 😁,
Fantastic day out!,"It's been a while since I've visited the zoo and with two teenagers, it could always be hit or miss ... but we have had the best day here!We seen pretty much every animal, the highlights being the giraffes,  koalas and the boisterous chimpanzees! The recent poor reviews are not a reflection at all on how well the zoo is set out and I guess some days the animals are more up for being spotted than others (which isn't really in the zoo's control!).  We got lucky today and really enjoyed walking around the many paths & enclosures. 😊",
Worst zoo ever,"Worst zoo I have been to , any person  reading this I'd definitely  avoided unless you like looking at empty cages . Best part was the penguins that's it , absolutely shocking for the price they charge .",
Enjoyable Morning,"An enjoyable few hours spent here. A big focus on research at the zoo, which was very interesting. At times a long distance between animals, as many habitats were being renovated. Delicious rolled ice cream. Be prepared for steep hills!",
needs upgraded alot,"Took my two boys (15 & 7 ) along today for a little day out. It was a good day out but not much had changed over the years! The chimps looked depressed! The glass for the underwater viewing for the penguin area is manky! The bear looked bored pacing back and forth, over and over again. I always said id never go back here but after having not visiting the place in over 10 years and my youngest has never been i thought surely the place would have upgraded alot! how wrong was I. That will be the last time I visit.",
Day trip at Edinburgh Zoo,"Really enjoyed my visit to the zoo and seeing a variety of different species of animals that I have not seen in other zoo's and parks I've visted in the past. I really enjoyed waling through the Wallaby area and taking some photos up close.The staff at the zoo were very helpful and kind. From front of desk to the keepers providing information of the animals I was interested in.Just some constructive criticism for the zoo. I would have liked to have seen more signs and information about the conservation efforts the zoo and the organisation does both nationally and internationally, as well as any projects the zoo/organisation is carrying out.",
Junior keeper experience,"Our whole family enjoyed our son’s junior keeper experience. Kirsty was absolutely fabulous, she was knowledgeable, kind and went above and beyond to accommodate a special request from him. Absolute value for money, worth every penny. Our son received this as a Christmas present and said it was worth the wait. He had the best day and has left inspired to follow his dream to work with animals. A magical day all round. We’ll be back to try one of the other experiences. Thank you! X",
Wonderful day!,"Had a lovely day with my mother and niece on the 8th July. Arrived at 12:30 and stayed til closing at 6pm. We were delighted to see all the animals at the zoo and stopped off at the Gannet Cafe for some fish and chips at 3:30. The food was piping hot and delicious. The cafe is very nicely decorated and laid out inside. The staff were exceptional, I was embarrassed that we’d arrived 10 mins after closing time for the cafe but the staff were lovely and allowed us in to eat. After eating we then took another wander round the zoo again and got to see more of the animals who chose to come out later in the evening. I was pleased to see how enriched the enclosures are and how happy the animals were. The meerkats were especially active and enjoying the sunshine!A few enclosures were empty but signs stated that there will be refurbishments made and instructions on where to go to see the animals that would have been there. I look forward to seeing when the works are done!The views from the hilltop and round the back of the giraffe enclosure are spectacular. I often forget what a beautiful city I have right on my doorstep.I was happy at the number of toilets around the zoo, as a sufferer of Crohn’s it was a relief to not have to worry about how far the toilets were.Towards closing time we entered the gift shop and I was immediately taken with the glass cabinet all lit up, displaying beautiful glassware with depictions of animals on them. I bought two whiskey tumblers with a safari scene on from the shop and ordered another online as I was so pleased with the quality when I got home. Also purchased were some fluffy keyrings, pens, stuffed teddy of the red panda and reusable bags with the zoo on the front.All in all such a happy day and a wonderful visit. I’m hoping to save up to purchase a lifetime membership as I definitely want to visit more often. Highly recommended.",
Lovely day out,"We visited the zoo last week and had a really lovely day out. When we arrived at about 10.40am the queue was very long but it moved quickly and we were in the grounds within 20 minutes.We were pleased to see that the animals were actually visible, as we’ve visited zoos in the past and several the enclosures appeared empty! Highlights for us included the pandas and penguins.",
"Excellent enclosures, great day out","First, a bit of backstory. We were supposed to come to Edinburgh Zoo last year but unfortunately, my brother had caught Covid when we were planning to visit. The zoo staff were very understanding of the situation and allowed us to keep the tickets for a year to visit again. When we did choose our date to come here, we made an error with our date choice on the website and asked the team to move it to the Friday from the Thursday which they did; albeit with the ticket still showing as the Thursday. The staff were really helpful in assuring me that all was well, I would like to give a shout out to Nikki, Emily, Jo and Liah of the Visitor Experience team for their help on this.Now that I've waffled on about that, let's get to the experience of the zoo itself. This zoo was very well maintained and the enclosures; particularly the monkey enclosures were massive. Plenty of space for all the animals to move around. I would say the three main highlights were the penguins, Giant Pandas and the koalas. Giant Pandas and koalas are some of the most mystical animals I've seen in a zoo and you can really see how much work the staff put in to make the enclosures as close to how it would be in a natural habitat as they could.The penguin enclosures really got the feeling of it being of what it would be for penguins in the Southern Ocean in fighting over one another to make their own nests as good as can be. You could stay there for some time to take in what is going on. All the animals were found on our list to find including the very elusive Red Panda and the iconic tiger. There were also no cages used here, with the big cats, we have to go under the enclosure and see the tiger above us or near us in the enclosure. The animals were all very happy and actively on the move all the time so you can tell the staff do a great job.With it being built in the city, you really get the feeling that you're still in the countryside although you're actually in the city. You really get drawn into the belief that you're in the countryside given how shady and how picturesque the zoo is and that's not an easy thing to do.Though what stops this getting a five star are two issues. Firstly is that the zoo is very poorly  signed. This isn't a fault with the zoo itself, it's the fault of Edinburgh City Council. There are no road signs for the zoo whatsoever until you are about a quarter of a mile away from. And even when you get to entrance, the entrance sign isn't very clear, you have to look closely on the side of the road to find it so unless you know the area or have a satnav, you haven't got a chance of finding it.The second issue is unfortunately to do with Edinburgh's geography, the zoo is built on a hill and some of the pathways are very steep to climb. Those who have mobility issues or have shortness of breath will struggle to make it to the top of the zoo. I think it could do with something like a land train or a funicular railway to take people from the bottom of the zoo to the top although I'm not sure these would work unfortunately.Anyway, it was a great day out for me and my brothers and I really hope to visit again soon. Keep up the good work.",
Disappointed.com,"If this were an Ofsted inspection the award would have been requires improvement. A number of enclosures were empty, there were only one or two of each species in a number of cases - a large number of these proving to be elusive. Whilst we appreciate the large swathes of weeds and wild flowers attract insects, there were a lot of sections that were dead or wilting. The main restaurant was over priced for what we received - one meal was virtually cold. The only plus points were the pandas, koalas and the singular tiger.",
Average,"Attended the Zoo yesterday. Unfortunately it was far too overcrowded with people with buggies who ignorantly blocked your views of the animals, although this is of no reflection of my ratings score as it’s not the zoo’s fault. However, with reference to the zoo…Unfortunately 9/10 of the enclosures were either overgrown or the viewings angles were awful for the animals - you really need to look at restructuring and replacing viewing angles to maximise visitor’s viewing experience as that’s what we paid for at the end of the day. Selection of cafe’s and restaurants also terrible, why don’t you have themed kiosks near the main attractions? Everything too generic and not enough. Also be aware a lot of areas restricted/no access temporarily, the giraffe upstairs viewing platform was ‘no access’, why? The excuse is that there’s a ‘revamp’ being undertaken, however if you read the other reviews this has been going on for years. If I had kids I’d return, however the zoo needs a major facelift and modernising and increased viewing platform angles.",
After Hours,"Brilliant ""After Hours"" at the Zoo. Great atmosphere with live music, food and drink and a chance to see the animals in the evening.",
Great Zoo,"Beautiful zoo in lovely grounds, plenty of animals to see, who all seemed happy and well looked after.",
Fantastic day,"Junior zoo keeper afternoon for Dylan was fantastic. He was buzzing after as he had such a good afternoon. The keeper Kirsty who was looking after us was a terrific host and very knowledgeable when it came to the zoo and the animals. She really is a huge asset to the zoo and can't speak highly enough about her. We had the Armadillo, chimps, meerkat, red panda and the penguins. Also had time to stop off at a couple of other places en route  while it was quitet. Such a food experience and would recommend it to anyone looking for a present or reward or just a good day out. Loved it. Thanks kirsty.",
Grand Day Out,"Excellent day out. Lots to see and explore. Loads of fab animals in great environments and obviously well cared for. Great choice of food stalls and picnic areas. Staff were lovely, especially Frank on the gate. What a nice chap!P.S. It is quite hilly but it is Edinburgh!",
Lovely zoo,"We visited this week whilst on holiday in Northumberland, and loved it. We’re in our 60’s and members of 2 other zoos, so visited Edinburgh on our Chester Zoo passes as a reciprocal visit. I’m a big giraffe fan, and was very impressed with their enclosure, it’s the best I’ve seen in any zoo. We loved the giant pandas, koalas, and Pygmy hippos which were new to us, and ticks on our bucket list. We were fascinated watching the research at the chimps, it was amazing. We were a bit disappointed that the sloths were closed off, as were the lemurs. We expected it to be steep, but were a bit shocked at how steep it actually was, we did manage it, but couldn’t have gone round twice! We had some of the loaded fries up near the dinosaurs, which we found to be expensive for what it was, and we were disappointed that we only found one place selling hot drinks, which was near the penguins. We like to buy food and drink at places like this, to help out and do our bit, but I have to say I wasn’t impressed with the choice. Maybe we just didn’t find the right places. It certainly wouldn’t put us off going again. We loved the gift shop and spent a fortune in there on souvenirs and presents for our children and grandchildren, the personalised gifts are fantastic! All the staff we encountered were friendlyWe will definitely be back next year!",
"Great Zoo, added bonus of great food too","Great day out for family. Son (2yo) absolutely loved it. We’ve been to Edinburgh zoo quite a few times in previous years and have never been disappointed, lots to explore and plenty of lovely animals to see.Completely unexpected this time was the food, which was epic! Never been to a zoo with such good food. Special mention to pizza from Pronto Pizza that was top notch, and rolled ice cream at rollys! So nice to see independent food vendors, like a street food market in the middle of a zoo, what more could you ask for!",
Zoo Keeper Experience,"I spent a memorable morning one-to-one with friendly, knowledgeable keeper Kirsty for a ""Keeper Experience"", feeding, cleaning out and preparing enrichment for a super variety of animals. Even better than I had hoped!",
Brilliant Zoo,We have just rejoined as members here and love the zoo.The addition of the giraffes is great.Been to zoos all over the uk and Edinburgh being 20 mins from us is still the best.Annual membership is great and gets you into Chester zoo and Highland Safari park too,
Nice,"I like the Edinburgh zoo. Huge,cutes animals are there.Staffs is nice,work hard for them. Pingvins is my favourite one.",
Edinburgh Zoo,"Amazing zoo!Really enjoyed our visit here.Plenty of buses from city centre, so many animals to see. Have visited many zoos and work in one myself and can honestly say I was wowed many times throughout my visit.Entry price was reasonable, ate from the penguin cafe which again was reasonably priced and tasty.Plenty of hill walking involved but the views from the top were stunning.If I’m ever in Edinburgh again I will definitely return and would recommend to anyone to visit as you will not be disappointed.",
Wonderful day,Fantastic day here. Lots to do and see. Large amount of stunning animals and the beautiful day helped us enjoy 😊,
Junior Keeper Experience,Just finished the Junior Keeper Experience with Kirsty. Whole morning was fantastic! According to my son ‘Nothing can top it!’ He said everything was top of its class but he especially enjoyed feeding the penguins and owl flying. Kirsty is really knowledgable instructor and he can’t wait to do another experience again in the future!,
Lovely zoo,"We spent a whole day here on our trip to Edinburgh, it was really easy to reach by bus from the city centre! There were lots of interesting animals and they were all really easy to spot which you don't get at a lot of other zoos. I didn't eat myself but my friend enjoyed food from one of the burger vans in the centre of the zoo, and the other facilities (toilets etc) are everywhere! The zoo is on quite a steep incline all the way to the top so I'd recommend sensible shoes and if you struggle with hills it might not be appropriate!",
Brilliant!,"What a fabulous zoo!When I visited it was a gloriously sunny day, which helped!There were lots of animals to see, as you would expect, and all well sign posted, so its easy to navigate your way around. It is built on a hill so there are some steepish  gradients, but also lots of benches to take 5 on.It was clean and looks well maintained, and all the staff I spoke to were very friendly and helpful.I took my own food and drink, so cant comment on the cafes.All in all, a great day out for all ages, an a credit to the city of Edinburgh.",
Zoo Keeper Experience,"My daughter and I did the Zookeeper Experience at Edinburgh Zoo.We had a wonderful time. We met our zookeeper leader Kirsty and after some explanations on safety procedures we set off. The first thing we did was feed the two rhinos which was amazing. We then made interactive feeding games for the meerkats  which was a lot of fun. We watched them trying to get to the mealworms we had hidden in cardboard tubes etc. Great fun!  Next we visited the gibbons. We didn't get up close and personal instead we went into their indoor room and hid some tasty vegetables under straw. Again we watched them searching around, finding and eating nearly everything we had hidden.We then met a one-eyed tawny owl who flew onto my arm where it claimed its prize of a little mouse head.Lastly we couldn't leave Edinburgh Zoo without a visit to the famous penguin enclosure where we hand fed the penguins. Kirsty was marvellous and so informative.What a lovely sunny unforgettable afternoon it was!",
Really nice place to visit,The zoo had everything you could think of and the panda’s were amazing to see. Everything was laid out really well and had plenty of rest areas with food kiosks and the restaurant was really nice too. Staff there were extremely friendly.,
